text_a	text_b	label
严惩！30多人被查实，五人被拘，网络造谣传谣者戒！	一男子传播“电表谣言”被行政拘留	unrelated
范冰冰的弟弟是私生子吗？真相：其实是她的一个阴谋	范丞丞庆生私生子谣言不攻自破！网友：羡慕这一大家子	disagreed
NBA哪些事被吐槽最多？詹皇抱团仅第2，科比鹰郡事件登顶！	健康小知识：隔夜馒头不要再吃了，会导致癌症	unrelated
吴京《战狼2》票房飙破40亿，冯小刚躺着也中枪，刘德华大赞！	吴京澄清谣言：一周前就收到冯小刚徐峥祝贺视频，造谣者已道歉	unrelated
挖出大型地宫，考古队凿开金刚墙后乌云密布，墓中冒出个白色东西	考古发现孙悟空墓 孙悟空真的存在于古代吗？	unrelated
最奇葩的宣传，这种没有轮子，悬浮的汽车你见过么？	悬浮汽车已经上路，可离地行驶！	unrelated
江铠同被曝插足陈翔毛晓彤感情后首现身机场，网友：光腿不怕冷吗	陈翔发声明辟谣“出轨”，网友看完文章却心疼毛晓彤！	unrelated
白酒泡这个，8年肾无力，居然好了，为健康加油，为自己收藏	桂圆别吃泡白酒喝，8年肾无力，竟喝好了，精神十足！	agreed
原来这简单的三种水果核竟可根治糖尿病	常吃这三种东西，可有效预防糖尿病，一生拒绝高血糖.mp4	unrelated
白酒和它泡一起，颈椎、腰椎、膝盖骨痛全好了！多年腰腿疼也管用	花椒泡白酒，偏方治大病，有效缓解腰腿疼痛预防关节炎	agreed
吴卓林出柜窦靖童躺枪，只是两人的区别还是蛮大的！	窦靖童周冬雨合体现身某夜店，网友：她俩出柜我可以接受	unrelated
范冰冰4.5亿豪宅曝光！网友惊呼：根本是大型商场	范冰冰未归国，美国豪宅出售？律师澄清谣言	unrelated
王菲李亚鹏外出破镜重圆？谢霆锋赶紧表态，他心情沉重	谢霆锋和张柏芝、王菲和李亚鹏双双对对破镜重圆，难道预言是真的	unrelated
女性减肥，每天按这几个地方就可以！舒服高效瘦身	中医用拔罐的方法减肥，每天拔一次，一次瘦半斤！	unrelated
喝茶能够清肠排毒还能减肥？这种说法靠谱吗	胃不好的人不能喝茶？是时候好好辟谣了	unrelated
王大陆与漂亮女助理搞暧昧，搂肩搭背家中独处6小时	景甜迅速发胖？赵丽颖冯绍峰再传绯闻？王大陆和女助理暧昧？	agreed
仓库意外拍到诡异镜像，疑似外星人！	妖女被抓被当众上火刑，在烈火中痛苦不已，黑发变白发！	unrelated
歌坛又一歌后患癌病逝，留下这首千古绝唱，葬礼上韩红悲痛抹泪	胡杏儿怀孕后狂吃才是女人真正怀孕的样子，鼻子变大可能生男孩？	unrelated
空姐独家祛斑美白小秘诀，睡前仅用它敷敷脸，一周皮肤光滑嫩白	大姐教你用这个露自制祛斑面膜，还你嫩白光滑皮肤	unrelated
三明一楼房倒塌现场辗压死了好几个人	葡萄皮加上它洗头，3天后白发自然变黑，长出头发乌黑亮泽！	unrelated
刘强东扬言要甩掉马云三条街，马云、我从来没把京东放在眼里 2	刘强东扬言要甩掉马云三条街，马云、我从来没把京东放在眼里 4	agreed
七个妙招护肤防辐射绿茶橘子抵御电脑辐射	保健：防辐射1橘子2绿茶	unrelated
以后会取消中、小学教师职称工资？教师工资收入构成！	教育部：特教教师工资收入将提高	unrelated
橙县警局:月圆之夜犯罪率上升	乌头草盛开的月圆之夜 ——自然环境对犯罪的影响	agreed
47岁张庭机场近照遭曝光，网友：厉害了林瑞阳！	是真的！张庭喜怀第三胎！与丈夫恩爱牵手，全家幸福现身机场	unrelated
可乐致癌之说从何而来	常喝可乐会致癌吗？凶手是谁？	unrelated
湿气克星，每天一杯一身轻	醋泡黄豆，每天吃几粒，15天瘦10斤，30天减掉大肚腩	unrelated
爆李易峰吸毒，影响挣钱可就不好了	张卫健辟谣 张卫健吸毒了吗被传吸毒很生气发文否认	unrelated
不起眼的护发能手，白发的“克星”，常吃一吃，延缓白发生长速度	白头发的“克星”来了！每天吃一点这几物，白发悄悄变回来	agreed
经常翘二郎腿，等于慢性自杀？跷得不好真会影响脊柱	翘二郎腿等于慢性自杀，你知道吗？	agreed
四川成都昨天半夜黑社会火拼,死伤一地	血溅一地!四川黑社会街头火拼全程 似港匪片	agreed
手指的长短决定你的命运，看出你的性格	第四根手指的长短胖瘦，决定你一生婚姻财运好坏	unrelated
巴中现“100元感谢费骗孩子上车带路”？是谣言	被专柜小姐骗了N年，皮肤营养过剩就是个谣言！	unrelated
农村违章用地要整治了，这些情况下可领补贴，这些情况下无偿回收	政策鼓励农村土地流转，那么农民土地流转补贴是多少？	unrelated
舒淇新戏杀青宣布退出娱乐圈，被疑和冯德伦造人成功！	舒淇疑怀孕宣布退出朋友圈，为什么网友让她别回来？	unrelated
芒果台跨年晚会名单，自家艺人撑台，有刘德华，没有谢娜	张柏芝和王菲到底谁才是谢霆锋的最爱？这些小细节透露了答案	unrelated
穷人的机会来了，2018抓住这五大行业，傻子都能赚钱！_0	马云透露： 2018做这个必定赚钱，穷人翻身！	agreed
感染sk5病毒死亡来袭，云南省红河州第一医院躺枪	红河蒙自：散布猪肉有病毒谣言者被行政拘留	unrelated
微信悄悄出新功能！网友：千万不能让女友老婆知道！	微信悄悄出新功能！网友：千万不能让老婆知道……	agreed
房间放洋葱可以防流感	谣言粉碎机｜用洋葱杀死感冒病毒？不科学！	unrelated
中国最后一位压寨夫人杨丙莲，96岁颜值依然美艳动人！	中国最后一位压寨夫人：16岁自愿嫁土匪，容貌惊艳世人至今健在	agreed
意大利医生换头手术将实现人类永生，首位实验者为中国人	人类永生实现了！基因化粉末投入太空可永生，现场被疯抢：我投资	unrelated
痔疮难受又尴尬？教你一简单有效的方法，肉球脱落痔疮不复发	农村一偏方，马齿苋+鸡蛋，治好30年的痔疮，神了	agreed
微信提现终于可以免费了！网友：马化腾什么时候变“大气”了？！	网友不希望吴京拍摄《战狼3》原因竟是！	unrelated
《真正男子汉》第三季嘉宾阵容确定，除易烊千玺外还有他们哦	《真正男子汉》第三季开录，嘉宾阵容曝光！	unrelated
菜板洗不干净致癌？老师傅教了我一招，用它清洗让菜板干净如新！	菜板细菌会致癌-只要用它正确清洗菜板干净又杀菌！	agreed
男子怀疑二婚妻子出轨 分居两年后要求离婚｜《咵天》	聂远被曝与妻子已分居数月 携神秘女子街边亲密互动	unrelated
当你看完这些，你还会给自己家宝宝穿开裆裤吗？	「谣言粉碎机」谁说宝宝夏天穿开裆裤凉快的？	unrelated
教师主要的九笔工资收入，你能收到几个？	教育部：特教教师工资收入将提高	unrelated
为当网红不要命！重庆一男子拍抖音，惨被高压电烧伤！	温州火车撞人了？上周末热传的这段视频竟是以讹传讹	unrelated
瘦肚子不用愁，只需这四物煮水喝，轻松瘦掉游泳圈，来试试	梨和蜂蜜这样吃，轻松刮油瘦肚子，21天轻了15斤	unrelated
井柏然要离开郑爽，郑爽大哭，以为不要她了！	井柏然要离开郑爽，郑爽大哭，以为不要她了	agreed
昌吉东方广场走丢了小女孩	谢娜狂删张杰微博原因有三，天天秀恩爱离婚了吗	unrelated
王者荣耀团队年终奖是100个月工资？！腾讯回应了	王者荣耀辟谣：露娜机甲新皮肤是假消息，模型再来其他游戏	unrelated
“斗鱼一姐”冯提莫被曝已结婚，继天佑之后被广电封杀的主播	广电公布第二批封杀名单冯提莫因“吞物”上榜，网友：天佑不孤单	agreed
冯小刚迁怒成龙现场动手，张国立圆场，吓坏李冰冰！	日常辟谣啊哈哈哈哈哈哈哈哈 冰块并不能使油凝固啊？	unrelated
农村瘦身良方，一把香菜煮水喝，通便消脂刮油瘦肚腩，谁用谁瘦	减肥就要土方法，只需一把香菜，甩掉大肚腩瘦到两位数	agreed
UFO目击报告：在英国和美国看到的UFO最多，中国最少	最新UFO飞碟目击录像——谁能解释这是什么？真的有外星人？	agreed
农村这种野草就是克星，专治腰腿痛、坐立不得！腰间盘突出也管用	腰间盘突出危害大！农村地边上的一把野草解决，关节炎也管用！	agreed
令人脸红的旅游景点，新西兰内衣墙，女游客集体在这脱衣！	64岁关牧村再提前夫痛苦不堪疑家暴，面容沧桑惨不忍睹	unrelated
大蒜和它一起吃，比人参鹿茸还要补，连吃三天壮如牛，效果胜牛鞭	大蒜跟它一起吃，比吃牛鞭人参还要补，连吃三天壮如牛，男性必看	agreed
减肥没有那么难，阿姨教你每天这样喝，刮油排毒，减掉大肚子	减肥土方子，每天一杯，排毒刮油减肥，常喝还能美容养颜	unrelated
火星上的古老外星人：好奇号发现疑似动物雕像和奇怪的人工制品	好奇号发现：火星有人造炮弹，暴露了外星人争夺火星的野心？	unrelated
最喜欢红烧鲶鱼，朋友说鲶鱼是最脏的鱼，不能吃？	烧水壶水垢证明水质差？水务开放日实验辟谣	unrelated
《辛普森一家》的十大预言！细思极恐，16年前就预言川普当总统	编剧都是穿越回来的，辛普森一家神预言川普当选美国总统	agreed
微信这个功能你知道吗？一键就能查看好友的精准位置！	定位妙招：通过微信请能知道对方的位置，非常精准几秒就学会！	agreed
“国民贤妻”刘涛为老公5年还清4亿巨债后，首发声：我后悔了	刘涛5年了刚刚为老公还清4亿巨债，首发声我后悔了	agreed
王健林直言：只有她有资格当万达少奶奶！可是表示都没想到是她	王健林直言：只有她有资格当万达少奶奶！网友看后都没想到是她	agreed
买到这种西红柿扔了也别吃！有致癌风险！	屁股大好生娃？头发长抢营养？谣言而已。	unrelated
曹云金回击郭德纲晒收据：27岁的你在诈骗	曹云金回击郭德纲 晒收据 27岁的你在诈骗我的钱财	agreed
四平东郊一小区内有加工黑实蛋的作坊	新消息：农村将大力开展环境整治，农民能够拿到这些补贴了！	unrelated
冰箱里打死都不能放的6种食物，放进去就得扔，许多主妇却还再犯	主妇们经常犯的错误，冰箱里打死都不能放的6种食物，拿出就扔	agreed
朝鲜网络一度瘫痪 美国拒证实是报复	最适合夏天的减肥方法，排毒清肠，轻松月瘦20斤	unrelated
双色球第059期头奖出号有规律 单挑一注冲击1000万	价值连城的古钱币为什么越来越难出手	unrelated
四种食物，美容排毒又养颜	【专题辟谣】香甜软糯的八宝粥变成了“碎海绵”？真相在这里…	unrelated
肿瘤专家说出养生秘诀：每天8杯白开水，癌症远离你！	饭后喝凉水会得癌症？医生盘点4个喝水“骗局”！	unrelated
孕妇剖腹产时被医院偷肾？所谓“丧尽天良”，其实是旧谣新传	网警辟谣：“金乡经济园有人偷小孩”？谣言！	unrelated
大S又又又怀孕了！确认怀上第三胎，您快来找好孕妈妈。	媒体曝光大S第三胎是男孩，汪小菲辟谣并6字吐槽他们没文化！	unrelated
1换1伦纳德加盟骑士死敌，交易如达成，东部冠军真没詹姆斯什么	火箭太抠被猛龙劫走伊巴卡！骑士交易已刻不容缓但恐代价太大！	unrelated
不吃晚饭能减肥吗？不吃晚饭有害身体健康	「健康」别听信谣言！不吃晚饭，对健康毫无益处！	unrelated
毛宁入狱，杨钰莹哭到断肠为他唱这首歌，毛宁在狱中哭的捶胸呐喊	毛宁入狱，杨钰莹撕心裂肺为他唱首歌，毛宁在狱中哭的死去活来	agreed
王宝强被曝又一神秘女友浮出水面，两人关系密切不一般	王宝强女友曝光!素颜甩马蓉十条街,身份更惊呆我	unrelated
孩子智商高不高？还得看在一岁左右有没有这4种表现	孩子长的高不高，其实这2个部位看到出	unrelated
王思聪炮轰那英，将其赶出娱乐圈	王思聪炮轰那英，让她滚出娱乐圈，网友：终于出手了！	agreed
2017年第一只妖股太阳电缆（002300）的诞生！	波场被质疑操纵市场，高位出货；孙宇晨辟谣，归咎做市商不专业！	unrelated
手机埋进大米里，一次能省下不少钱，后悔才知道，真的很实用	手机放进大米了太厉害了，一次帮家里省下上千元，看完一定要试试	agreed
《前半生2》女主不是马伊琍，另换其人？	食物相克系列：好吃的苹果与那些食物不宜一起吃呢？	unrelated
生男生女有哪些秘诀，哪种方法最靠谱？	二胎生男生女，掌握夫妻间的这些小秘密	agreed
可乐的“致癌危机”	揭密：一个月不喝碳酸饮料会有哪些惊人变化？可乐是否有致癌一说	agreed
孕妇剖腹产时被医院偷肾？所谓“丧尽天良”，其实是旧谣新传	中学生被割肾系谣传！谣言散布者被拘10日	unrelated
吴奇隆刘诗诗两人去日本求子，想生一个狗宝宝！	白发越长越多不用染，淘米水加它洗头，白发3天自然变黑	unrelated
娱乐太八卦，陈乔恩和吴磊恋情曝光，只有智障才会信	肚子的肉越来越多，几颗花生睡前吃，轻松瘦下来	unrelated
你知道吗？经常让孩子嚼口香糖可提升学习记忆力，还有健齿的作用	tag你的猪朋友！!LOTTE推出了救救记忆力口香糖	unrelated
彭于晏出柜 赵丽颖成为继应采儿之后娱乐圈又一预言家	辟谣：“越野车掉入壶口瀑布”纯属假消息	unrelated
国产悬浮汽车即将上市，趁未上市前先睹为快	悬浮汽车，原地调头自动操控，科技感十足	unrelated
合肥房价暴跌业主求政府救市！央行再出手，厦门楼市将……	厦门警方查处“楼市调控政策放宽”谣言，当事人被拘	unrelated
尼坤宋茜2017公开恋情 昔日恩爱恋人如今变陌生人令人惋惜	在一起了！陈伟霆发文公开恋情：用尽一生遇见你	unrelated
春节假期银行系统维护，1月24日是信用卡还款最后期限	朱之文母亲去世，于文华在葬礼上唱了这首歌，全村人哭的泪流满面	unrelated
爱干净也会惹祸，这些情况下绝不能给宝宝洗澡	坐月子不能给宝宝洗澡	unrelated
国外男子在51区小屋发现外星人，用手机对它拍到这一段视频！	印度出现五头眼镜蛇，吓坏路人（高清）	unrelated
网传“多人感染SK5病毒死亡”系旧谣新传	百度公关辟谣“李彦宏小三”传闻：百分之百谣言，已报案	unrelated
茶水加它一起洗头，坚持三天，满头白发逐渐变黑，再也不用染发了	枸杞加它这样用，满头白发变黑只要三天，再也不用染发剂！	unrelated
手机竟能验钞！这些隐藏功能大部分人都不知道	手机相机真的可以验钞？专业人士：简直是笑话	agreed
做好这几步护肤工作，吃辣不长痘！想吃就吃	曾毅刚离开凤凰传奇，玲花和老公重组合唱这首歌，曾毅撕心裂肺！	unrelated
农村取暖补贴，最高补贴一万元，很多农民为什么都没有领到？	黄光裕带黑哥重出江湖，马云的阿里巴巴将成为国美的垫脚石？	unrelated
《写给未来的你》，值得所有孩子一看	重读《写给未来的你》——余光中先生写给他女儿的文章	unrelated
曝光！这25股目标涨幅超50%，下周将引领暴涨狂潮！	机构上调12股评级 视觉中国目标涨幅50%	unrelated
“小黄车传艾滋病”？谣言！都是谣言！	澄清｜运城疾控中心公车私用事件 实为会议用车！	unrelated
你真的会刷牙吗？刷牙前牙膏要不要沾水？原来我白刷了23年牙	刷牙前还把牙膏蘸水？难怪容易牙黄口臭，正确的刷牙方法更健康	agreed
成都一女子跳楼未遂 对面看热闹的小伙反倒失足坠楼摔死了！	女子跳楼未遂，看热闹的人却失足摔死 一起悲剧挽救另一场悲剧！	agreed
张柏芝带俩儿子回港，锋菲机场大吵，谢霆锋高调接机，她失声痛哭	张柏芝带儿子返回香港，差点和谢霆锋在机场遇见	unrelated
2018事业单位改革：这类事业编，每满2年可直接转公务员！	香蕉浸泡“不明液体”,吃了有毒?	unrelated
tfboys斩获大奖也难合体，难道真的要解散了？	TFBOYS要解散?王源已成立个人工作室	agreed
全家人吃了泡发木耳，全部死亡，赶紧扔掉	一家人吃了泡发木耳，全部死亡，家里有的赶快扔掉	agreed
半年内使用网贷超2次，拒贷！怎么办？	辟谣：针对“公积金贷款纳入征信”等不完整信息的公开说明	unrelated
31省份GDP一季度成绩单：18个省份增速跑赢全国	2亿2的投资变成17亿，谁在造谣骅威？	unrelated
2017年农村土地新规，这几种土地要缴税了，看看有没有你家的	清热去火穿心莲，排毒减肥又养颜，你吃对了吗？	unrelated
绝地求生：卢本伟首次承认帐号开挂！但是开挂的不是自己而是他！	五五开直播道歉，并不打算承认自己开挂，卢本伟到底凉了没	unrelated
明察｜大连警方：正侦破特大杀人案，网传行凶视频与本案无关	网传“杏山坡加油站爆炸” 新泰警方辟谣	unrelated
买房千万别买这4种阳台的房子我非不听劝住进去犯风水隐讳了	千万不要买这几种阳台的房子！	agreed
注意！2018国家公职人员喝酒开车可直接开除，子女发展受限！	辟谣｜为公号吸粉虚构交通事故，造谣者被刑拘5日	unrelated
火箭赢下G5已成定局？休城喜迎第三巨头归位，哈登保罗压力大减	辟谣！森林狼还没有想象中那么差	unrelated
最新教程：教你恢复安卓手机删除的聊天记录	你以为你的聊天记录真的删除了吗？只要打开这里，就能给你恢复	unrelated
监控拍到的恶鬼袭人真实恐怖录像——科学还无法解释！你相信吗？	监控拍到的恶鬼袭人真实恐怖录像 科学现还无法解释！你相信吗？	agreed
曹艳两岁女儿在济宁大润发被拐？谣言！	网传“河北邢台发生水灾”是谣言！请勿传播！	unrelated
中国到底做了什么？日本企业全体撤资中国，群众一脸懵呆！	它被称“天然美容”食物，每天吃一吃，美容养颜气色好	unrelated
《中国新说唱》终于定档，23强名单提前出炉，谁会“燃烧一夏”	KT上单Smeb与AD选手Deft传不和！当事人实力辟谣！	unrelated
儿科医生告诉你：怎么通过晒太阳补钙才能让宝宝长高？	育儿辟谣系列十一：宝宝配方奶真的要喝到三岁吗？	unrelated
当年梅艳芳葬礼上，张柏芝因这件事被人痛骂，成为一辈子的污点！	怀孕5个月的刘亦菲 与宋承宪的婚礼还会远吗	unrelated
保利尼奥为赌博网站宣传或被驱逐出境？对方违约 回应：将解约	卖掉保利尼奥？巴萨功勋队长普约尔一番言论强势回击可笑谣言！	unrelated
懂明珠透露，2018年最赚钱的行业，傻子都能致富 2	懂明珠透露，2018年最赚钱的行业，傻子都能致富	agreed
原来鉴别翡翠的好坏还有这么简单的方法	教你鉴别红酒真假最简单的方法，百分之百有效	unrelated
开车忘带驾驶证别慌，这3种情况不算无证驾驶！老司机偷偷告诉你	忘带驾照=无证驾驶？别再被谣言忽悠了！	unrelated
国宝级美声歌唱家，朱之文崇拜他，与妻子结婚40多年恩爱如初	朱之文现在名气越来越大了，很多有钱人家里结婚都会请他过去~	unrelated
牙克石公安局招辅警、交警、法警、刑警、狱警	“地震云”到底算不算是地震前兆？	unrelated
好消息：今年农村4项补贴可以领取了，每月有300块，你符合吗	好消息：独生子女，国家将给予4项特殊津贴，将近1万元！	agreed
心理学家：你的血型决定了你的性格	血型决定性格，性格决定投资方向？AI+血型+投资	unrelated
一个清理血管壁垃圾的有效方子，为家人转发	1个简单方子，将血管壁清理得干干净净	agreed
可以靠自由职业赚钱月入过万的人，都有这一个特点 3	可以靠自由职业赚钱月入过万的人，都有这一个特点 2	agreed
宁夏交通违法“清零”行动今天开始！详细解读在这里→	5月必吃的蔬菜，防癌抗病促消化，每天吃一点，身体棒棒哒！	unrelated
美国军队禁用华为和中兴，如果中国禁售苹果，谁更惨？	谁在造谣“美国封杀中国手机”？	unrelated
十年鸡头如砒霜？医生建议：这8种肉最好别吃	别把翅尖作尖翅 两者有毒皆谣言	unrelated
吴奇隆不能生育吗 吴奇隆两任妻子都没有小孩原因揭秘	吴奇隆不能生育吗？吴奇隆两任妻子都没有小孩原因揭秘	agreed
减肥新方法，多揉这个穴位，减肥养生，助你甩掉大肚子	减肥真的很简单，农村阿姨教你在家做减肥茶，轻松甩掉大肚子	unrelated
315晚会：螃蟹加西红柿等于吃砒霜？看看专家实验怎么说	震惊：螃蟹加西红柿等一起吃等于砒霜 真的是这样吗？	agreed
李亚鹏为了女儿，希望和王菲复合，网友：女儿太像老太太了	王菲中秋携女赴德国与李亚鹏汇合，这是要复合的节奏？	unrelated
王菲跟谢霆锋是因为怀孕才选择复合的吗？	谣言！华晨宇的女朋友竟然不是邓紫棋？	unrelated
怀孕多久穿防辐射服 孕妇如何选购	怀孕了，一定要穿防辐射服吗？	unrelated
「涨知识」微信悄悄出新功能，千万不能让你老婆知道！	微信悄悄出新功能！千万不能让女友老婆知道！	agreed
儿子女友竟是46岁的杨钰莹，鲍国安的反应令人很意外！	这是要复合的节奏吗？王菲和李亚鹏谢霆锋和张柏芝，双双对对出现	unrelated
她曾四次上春晚三次患癌，央视主持人朱迅的坚强人生	央视一姐第三次癌症复发，面部变形无法再登上舞台，惋惜！	unrelated
江苏高考“炼狱模式”将结束？语数外改为全国卷，网友：可喜可贺	网传葛军将参与今年高考数学命题！网友：没有根据，已经辟谣	unrelated
网传海口大英村发生砍人事件？海口网警提醒切勿传谣	别传谣！海口商场有人打群架？朋友圈相关视频或涉假	unrelated
丈夫干家务越多,离婚率竟然越高!	男人干家务越多离婚率越高	agreed
紧急扩散！手机勒索病毒来了！	王者荣耀谣言粉粹机：剑仙要重做成辅助？呵呵呵呵呵	unrelated
4种职业容易导致男性不孕不育，5种常见水果良药来预防	被爆欠薪不给，还不孕不育？吴奇隆怒斥网友：谣言猛于虎！	unrelated
范丞丞恋情被扒出，女友是富二代网红，范冰冰会同意吗？	王一博辟谣追求豪门千金綦美合，富家女和明星合照传绯闻	unrelated
夏天蚊子最怕这种植物！家里摆两盆，蚊子不敢进屋，清新养眼	夏天蚊子最怕这种植物！家里摆两盆，蚊子不敢进屋，美观实用	agreed
公公强吻儿媳后两家人现场斗殴？现场视频系张冠李戴	网传沙坪坝一小区发生杀人案？警方发布警情通报辟谣	unrelated
网络热传的左右脑年龄测试靠谱吗？	又上当了！左右脑测试辟谣后，网友神回复亮了	unrelated
腰间盘突出久治不愈，试试这种方法，轻松治好腰腿痛	夏天蚊子特别多，家里放上这个没有一只蚊子	unrelated
以后这些补贴会直接打入农民账户！你还不知道吧	征地补贴直接打入农民账户，农民朋友你是否知道？	unrelated
OPPO R13曝光：但背面是iPhone X吗？	林志玲隐婚两年	unrelated
发烧物理降温	发烧38度了该怎么进行物理降温给生完孩子的大人？	unrelated
廊坊网传飞机撒药治白蛾 市园林局：假消息！	网传“飞机洒药”假通知 郑州园林局辟谣：没这回事儿	unrelated
你坐火车时见过火车司机吗 你知道他们工资多少吗 说出来吓死你	原来火车司机的工资这么高，一个月居然上万元	unrelated
不挨饿，不疯狂运动，14天甩掉10斤肉，她是如何“吃”瘦的？	回拨“响一声”国际电话会被扣巨款	unrelated
她是前斗鱼一姐，被冯提莫赶下台后生活窘迫，如今挑粪劈柴样样来	破除谣言！斗鱼内部人员回应：大司马不会离开斗鱼！网友：成了！	unrelated
《老九门2》即将开拍，张艺兴有望开展新恋情，启月夫妇要凉了	南派三叔透露《老九门2》将开拍，这阵容你看吗？	unrelated
花生黄曲霉真致癌吗，为何上几辈人吃都没事？	“花生的红衣”要慎吃！花生米制品可致癌！	unrelated
怎么做才能提高生男孩的几率呢？想要儿女双全看这里！	怎么备孕可以增加生男孩的机率？	agreed
别给宝宝这么吃草莓，易感染诺如病毒，已有孩子中招！	孕妇吃薏米虽易引发流产，但合理食用可以改善肤色又下奶	unrelated
吃珍珠等于吃塑料警惕奶茶中成分	吃珍珠等于吃塑料警惕奶茶中5种成分	agreed
吴亦凡被曝吸毒，受访期间摇头晃脑	吴亦凡辟谣吸毒传闻，他为啥频频被黑？	disagreed
专家教你减肥妙招，这2物一起熬水喝，刮油排毒，体内脂肪全扫空	169斤减到98斤，专家教你这样喝，刮油排毒，快来了解一下	agreed
孕妇孕期常吃这些食物，宝宝一出生就近视，你们还不改？	刚出生的宝宝被确诊痴呆儿，孕期这种食物还是尽量少吃	unrelated
吴亦凡颖宝公开恋情，人气堪比鹿晗，林更新粉丝纷纷表示：凭什么	赵丽颖吴亦凡公开恋情？网友：俩人隐藏的够深，大家都被骗了	agreed
李连杰谈生病坐轮椅传闻:我有病但没坐轮椅	李连杰亲自分享工作近况澄清病重衰老谣言：未来我还会做得更好	unrelated
五五开承认小号开挂，斗鱼官方选择性忽视，真当用户是傻子？	pdd正面回应开挂谣言，将所有账户送给吃鸡官方检测	unrelated
微信这个功能你知道吗？一键就能查看好友的精准位置！	打开微信这项功能精准定位别人手机位置只需3秒	agreed
科学使用空调小技巧，每月省电20%	十多元的“节电器”可省电20%	unrelated
一分钟教你给手机快速充电，手机充电速度能提升一倍	赵丽颖恋情曝光？对方竟是杨幂前男友？	unrelated
怀孕期间喜欢吃酸的，铁定生男孩？科学的解释在这里	吃生蚝能增加生男孩几率？	unrelated
“小黄车传艾滋病”？谣言！都是谣言！	今晚廊坊永清有余震纯属谣言 公安部门正追查谣言源头	unrelated
外卖小哥雨中送餐，车被偷了大哭，哭的是生活还是什么？	高血压的克星！一招轻松降血压，不反弹	unrelated
粤港澳+国资改龙头，主力260亿锁仓，主升浪开启目标60%	深国改+粤港澳第一龙头，主力15亿锁仓，十个板完全不是问题！	unrelated
成都水淹地铁通道 拉货小哥改拉人	辟谣：拉货小哥地铁通道扫码拉人？这不是在成都	unrelated
农村违章建筑来消息了，有的可以免税，有的还可以享受补贴了	在农村这些违建现在可以合法了,并且还免税!	agreed
缺乏谦卑！余承东再度回应闪存门事件：现在有了反思	华工程师辟谣：从未听谁说过秒杀苹果，余承东更不可能	unrelated
曝“尔豪”扮演者高鑫携女儿与神秘女逛街，已经与王一楠离婚？	高鑫：有人来探前妻的班 网友：你什么时候离婚又再婚的？	agreed
王健林说出对儿媳妇的要求，王思聪慌了！网友：全国只有一人符合	主持人问首富王健林：对儿媳妇有什么基本要求，首富回答亮了 7	agreed
芯片第一龙头沉睡7年，中报净利飙增千倍，4月或赶超科大讯飞	芯片第一龙头沉睡7年，中报净利飙增千倍，五月或赶超科大讯	agreed
男人吃腰子、牡蛎真能“壮阳”吗？营养师：你被这3种食物骗惨了	猪肉扔一边，今天就吃它！腰子怎样才能去腥味美味一看就学会	unrelated
南京苏宁球迷上吊自杀	今夏南京雨水多蚊子也会多 别让谣言误导你	unrelated
今夏减肥的妹子需警惕，这几种水果要少吃，不然越吃越胖	8款营养又好吃的水果干，减肥的你也能吃	unrelated
肩周炎，腰腿疼，枸杞秘制吃法，对付多年腰间盘突出也是妙招	腰腿僵硬，行走困难，枸杞巧妙吃法，多年腰间盘突出患者也管用	agreed
世界艾滋病日｜我们离治愈HIV还有多远？	辟谣：滴血验癌不可能 马赛克疫苗不能阻止艾滋病	unrelated
厉害了国内75岁大爷发明隐形衣，穿上瞬间消失？	马云讲未来十大领域 暴富的行业一定是它震撼！	unrelated
2018公职人员喝酒开车可直接开除，子女发展都受限	注意！2018国家公职人员喝酒开车可直接开除，子女发展受限！	agreed
独生子女的你，房产继承为何一波三折？	即使是独生子女，你也不一定能单独继承爸妈的房产！	agreed
王晓晨“整容”相当于毁容！网友：莫非是为了胡歌？	人红是非多，“王小米”王晓晨被疑整容，再看完这些旧照就有数了	agreed
李亚鹏有了新恋情？李嫣反对，王菲无所谓！	章子怡微博公然叫板整容谣言者；想挨揍就吱一声！	unrelated
男人不要经常吃这四种食物，越吃肾越衰，严重的丧失本能	这四类食物，男人不要多吃，越吃身子越差，可能丧失本能	agreed
口臭，口腔溃疡烦不甚烦，我来一招轻松搞定	一招去口臭，口腔溃疡	agreed
撕得这么难看，张杰谢娜要是真的离婚了就是那些毒唯们害得！	谢娜辟谣：没逛公园没直播，以前是直发现在是短发	unrelated
瓜帅发声，梅西真要去曼城？逼宫高层，巴萨动荡何时结束	巴萨主帅辟谣：暂未收到小白任何报价，但一切都可以讨论	unrelated
天哪！日本科学家最新研究显示，麦当劳竟然可以治疗脱发？！	喝酒驱寒、吃薯条治秃顶…这些养生谣言信了就是害自己！	unrelated
《跑男》被下令停播整改，李晨成最大原因，网友：收视率惹得祸	《奔跑吧》被下令停播整改，李晨成最大原因，网友：都是为了收视	agreed
沐浴液内含防腐剂诱发乳腺癌？	绿萝真的会开花吗？不要再被那些谣言欺骗了！	unrelated
洗澡时间太长易致癌吗？	真的有这么神奇？多种方法让你彻底摆脱“白发”烦恼！	unrelated
用热水泡脚？是慢性自杀！（看完我惊呆了！）「经典收藏」	还在用热水泡脚？请好好听，这是慢性自杀~	agreed
